292.45,156.09,47.112,10.794,34.776,30.546,10.14,20.241,12.778,11.022,23.05,11.022,12.778,20.241,10.14,30.546,34.776,10.794,47.112,156.09
27.19,27.178,28.344,17.903,13.004,8.6018,11.378,2.6164,2.9691,3.9272,4.0979,4.5701,2.1285,0.24442,5.6837,8.9743,13.202,19.574,13.445,23.285
17.069,4.1064,11.34,9.3316,14.306,10.831,7.6233,6.6143,3.8104,6.2099,6.9301,6.9522,5.2922,4.9218,10.56,18.899,15.455,12.479,3.9966,18.392
14.2,7.9533,9.1391,14.214,11.399,1.6951,5.2488,4.8288,6.2718,4.8741,2.4041,2.64,1.6689,6.2049,6.9289,6.5868,6.9996,6.7501,14.593,8.2533
13.081,10.598,5.8684,10.286,16.745,12.384,3.7805,3.0688,2.42,4.4431,3.6967,3.3496,5.3014,3.222,4.2807,6.0962,8.6366,3.0783,9.8965,4.9924
9.5905,17.123,11.955,2.7026,6.7081,7.8759,3.7154,1.6329,4.4367,5.2617,6.9342,3.2054,8.5903,0.80771,5.4973,4.8573,3.1274,5.3347,7.1415,5.8731
9.4007,7.4635,1.3879,2.0499,6.4745,7.1765,2.3786,2.6243,1.7777,1.3855,2.4039,3.2319,6.083,3.8024,1.3894,6.784,7.0303,7.3847,5.3469,3.7172
10.393,14.957,8.327,1.1488,1.5655,0.38611,2.4872,2.3999,3.3553,2.4279,0.79203,4.1645,2.7442,4.1277,0.92429,4.0475,1.0494,0.88052,7.3182,12.277
4.2475,4.1807,1.6353,1.6719,3.0388,4.0646,2.8397,2.7449,1.5869,1.5373,5.7126,5.038,1.0802,2.5746,0.83651,1.3874,0.56359,1.3046,1.9036,2.6649
3.3181,2.1238,1.1662,1.0611,2.5157,4.1023,2.3875,0.52385,1.8294,4.807,4.2301,1.914,1.3983,4.6743,1.4428,3.3679,1.5776,2.332,2.101,3.4295
4.73,4.385,2.6017,2.4639,2.63,2.9975,2.4496,2.0574,3.1384,5.7841,8.59,5.7841,3.1384,2.0574,2.4496,2.9975,2.63,2.4639,2.6017,4.385
3.3181,3.4295,2.101,2.332,1.5776,3.3679,1.4428,4.6743,1.3983,1.914,4.2301,4.807,1.8294,0.52385,2.3875,4.1023,2.5157,1.0611,1.1662,2.1238
4.2475,2.6649,1.9036,1.3046,0.56359,1.3874,0.83651,2.5746,1.0802,5.038,5.7126,1.5373,1.5869,2.7449,2.8397,4.0646,3.0388,1.6719,1.6353,4.1807
10.393,12.277,7.3182,0.88052,1.0494,4.0475,0.92429,4.1277,2.7442,4.1645,0.79203,2.4279,3.3553,2.3999,2.4872,0.38611,1.5655,1.1488,8.327,14.957
9.4007,3.7172,5.3469,7.3847,7.0303,6.784,1.3894,3.8024,6.083,3.2319,2.4039,1.3855,1.7777,2.6243,2.3786,7.1765,6.4745,2.0499,1.3879,7.4635
9.5905,5.8731,7.1415,5.3347,3.1274,4.8573,5.4973,0.80771,8.5903,3.2054,6.9342,5.2617,4.4367,1.6329,3.7154,7.8759,6.7081,2.7026,11.955,17.123
13.081,4.9924,9.8965,3.0783,8.6366,6.0962,4.2807,3.222,5.3014,3.3496,3.6967,4.4431,2.42,3.0688,3.7805,12.384,16.745,10.286,5.8684,10.598
14.2,8.2533,14.593,6.7501,6.9996,6.5868,6.9289,6.2049,1.6689,2.64,2.4041,4.8741,6.2718,4.8288,5.2488,1.6951,11.399,14.214,9.1391,7.9533
17.069,18.392,3.9966,12.479,15.455,18.899,10.56,4.9218,5.2922,6.9522,6.9301,6.2099,3.8104,6.6143,7.6233,10.831,14.306,9.3316,11.34,4.1064
27.19,23.285,13.445,19.574,13.202,8.9743,5.6837,0.24442,2.1285,4.5701,4.0979,3.9272,2.9691,2.6164,11.378,8.6018,13.004,17.903,28.344,27.178
