122,165,129,82,125,100,80,78,14,118,97,100,33,0,0,0,0,0,0,0
154,72,135,85,119,122,55,107,63,90,124,112,26,0,0,0,0,0,0,0
136,46,46,75,139,134,108,75,129,134,83,44,7,0,0,0,0,0,0,0
112,107,41,125,138,133,80,77,150,114,21,0,10,0,0,0,0,0,0,0
187,93,131,95,110,103,91,111,151,103,58,29,36,0,0,0,0,0,0,0
199,160,99,83,66,150,145,185,127,129,96,27,65,0,0,0,0,0,0,0
189,198,180,96,112,126,222,156,79,32,29,11,30,0,0,0,0,0,0,0
118,208,225,173,89,199,233,164,38,49,34,31,27,0,0,0,0,0,0,0
101,149,242,225,220,237,204,51,93,49,32,35,82,0,0,0,0,0,0,0
130,153,206,232,194,182,170,45,52,38,17,31,36,0,0,0,0,0,0,0
97,131,237,230,179,169,211,213,168,152,105,122,43,0,0,0,0,0,0,0
140,223,247,243,221,206,186,194,187,131,147,166,81,0,0,0,0,0,0,0
210,217,185,126,255,236,32,13,46,68,51,47,33,0,0,0,0,0,0,0
190,95,75,75,233,203,41,2,97,89,71,61,79,0,0,0,0,0,0,0
85,86,106,133,222,175,56,1,87,65,87,56,74,0,0,0,0,0,0,0
93,132,111,164,202,168,108,2,69,64,61,84,84,0,0,0,0,0,0,0
127,149,147,102,169,146,126,10,74,75,54,64,108,0,0,0,0,0,0,0
150,141,123,115,127,148,144,45,74,83,52,63,97,0,0,0,0,0,0,0
122,122,116,119,134,161,135,29,111,97,125,38,40,0,0,0,0,0,0,0
104,133,75,110,134,168,116,117,138,139,117,121,23,0,0,0,0,0,0,0
